Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uf,C0805,123.009659,-113.832641,0,top
C2,1uf,C0805,131.648193,-112.7379,90,top
Q1,BSS138,SOT23-3,133.1341,-105.0163,270,top
Q2,BSS138,SOT23-3,144.5387,-105.0163,270,top
Q3,BSS138,SOT23-3,136.9949,-105.0163,270,top
Q4,BSS138,SOT23-3,140.7795,-105.0163,270,top
Q5,BSS138,SOT23-3,148.9583,-105.0925,270,top
Q6,BSS138,SOT23-3,152.7683,-105.0925,270,top
Q7,BSS138,SOT23-3,156.5783,-105.0925,270,top
Q8,BSS138,SOT23-3,160.3883,-105.0925,270,top
R1,10K,0603-RES,140.7033,-108.8771,0,top
R2,10K,0603-RES,136.9949,-110.5535,0,top
R3,10K,0603-RES,133.1087,-108.8263,0,top
R4,10K,0603-RES,133.131559,-99.890579,180,top
R5,10K,0603-RES,140.6271,-99.8601,180,top
R6,10K,0603-RES,144.6403,-110.6805,0,top
R7,10K,0603-RES,144.5387,-101.2063,180,top
R8,10K,0603-RES,148.9837,-108.8771,0,top
R9,10K,0603-RES,148.8313,-99.8855,0,top
R10,10K,0603-RES,136.8933,-101.1809,180,top
R11,10K,0603-RES,152.6921,-110.6043,0,top
R12,10K,0603-RES,152.7683,-101.2825,0,top
R13,10K,0603-RES,156.6037,-108.9025,0,top
R14,10K,0603-RES,156.5783,-99.9617,0,top
R15,10K,0603-RES,160.4137,-107.4039,0,top
R16,10K,0603-RES,160.4137,-101.3333,0,top
U1,PMIC-LDO-XC6206P332MR-G(SOT23),SOT-23,127.8763,-112.9411,270,top
